gbifID,species,latitude,longitude
441876610,Andreaea rupestris,47.583333,-77.166667
441876607,Andreaea rupestris,48.833333,-87.516667
441876606,Andreaea rupestris,48.783333,-88.616667
441876528,Andreaea rupestris,46.033333,-79.733333
441876527,Andreaea rupestris,45.266667,-79.683333
441876524,Andreaea rupestris,46.716667,-80.933333
441876518,Andreaea rupestris,47.35,-84.633333
441876483,Andreaea rupestris,44.55,-65.783333
441876482,Andreaea rupestris,44.583333,-64.4
441876481,Andreaea rupestris,46.65,-60.466667
441876480,Andreaea rupestris,47.366667,-67.633333
441876478,Andreaea rupestris,61.166667,-124.55
441876477,Andreaea rupestris,45.833333,-67.116667
441876476,Andreaea rupestris,45.616667,-64.95
441876475,Andreaea rupestris,45.633333,-67.016667
441876460,Andreaea rupestris,43.0,-71.0
441876355,Andreaea rupestris,60.2,-147.466667
441876249,Amphidium mougeotii,46.716667,-60.916667
441876248,Amphidium mougeotii,47.366667,-67.633333
441876246,Amphidium mougeotii,47.366667,-67.633333
441876243,Amphidium mougeotii,45.133333,-67.133333
441875969,Amphidium mougeotii,52.916667,-132.05
415929837,Dicranum polysetum,47.45,-52.83333
415929836,Dicranum polysetum,41.99388,-73.20194
415716133,Polytrichum piliferum,48.67889,-119.34022
415716129,Pohlia wahlenbergii,49.183333,-121.8
415716124,Pohlia wahlenbergii,47.60639,-122.33083
415715971,Oncophorus wahlenbergii,68.9,-161.166667
415715818,Hylocomium splendens,59.65,-126.983333
415715814,Hylocomium splendens,50.666667,-121.333333
415715412,Bryum argenteum,47.39361,-122.42361
415715360,Aulacomnium turgidum,69.366667,-152.133333
415715355,Aulacomnium turgidum,58.833333,-124.666667
4022381770,Syntrichia ruralis,55.112065,-120.98141
4022378496,Hylocomium splendens,50.051173,-125.363457
4022371624,Hylocomium splendens,49.684672,-124.891179
4022368822,Hylocomium splendens,49.330653,-122.854369
4022364323,Hylocomium splendens,48.684095,-123.436845
4022358700,Polytrichum piliferum,54.475544,-122.678211
4022352384,Plagiomnium cuspidatum,39.590308,-82.590611
4022344481,Sphagnum lescurii,30.364939,-88.718375
4022342371,Polytrichum piliferum,48.441325,-123.29765
4022339532,Syntrichia ruralis,37.484566,-119.966744
4022332421,Hylocomium splendens,49.305305,-122.917725
4022327166,Hylocomium splendens,64.876532,-148.382671
4022326113,Hylocomium splendens,64.875695,-148.382259
4022326050,Hylocomium splendens,64.88335,-148.395643
4022325924,Hylocomium splendens,64.883344,-148.397135
4022325923,Hylocomium splendens,64.876513,-148.382321
4022325559,Hylocomium splendens,45.593313,-64.965958
4022324377,Syntrichia ruralis,52.390536,-113.610703
4022322817,Hylocomium splendens,64.895344,-148.451976
4022322809,Hylocomium splendens,64.8834,-148.397156
4022320413,Syntrichia ruralis,43.89484,-103.484109
4022320316,Plagiomnium cuspidatum,39.884965,-86.314716
4022319177,Hylocomium splendens,64.894868,-148.451057
4022319129,Hylocomium splendens,64.895219,-148.451535
4022319011,Hylocomium splendens,64.876513,-148.382321
4022318720,Hylocomium splendens,50.23463,-116.960312
4022318139,Hylocomium splendens,64.882694,-148.395089
4022318120,Hylocomium splendens,64.881679,-148.391489
4022318016,Hylocomium splendens,64.895902,-148.452381
4022318013,Hylocomium splendens,64.895934,-148.452662
4022318005,Hylocomium splendens,64.88136,-148.393553
